2025-05-30 17:31:29 | WARNING | agentsAI.__main__ | main | Warning: default_api not found or not usable. Using MockDefaultAPI for web_search.
2025-05-30 17:31:29 | INFO | agentsAI.__main__ | main | Starting main application execution.
2025-05-30 17:31:29 | INFO | agentsAI.__main__ | main | Environment variables loaded from .env file
2025-05-30 17:31:29 | INFO | agentsAI.core.agent_factory | agent_factory | Creating agent of type 'orchestrator' (Class: OrchestratorAgent) with ID 'default' and args: {}
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Agent orchestrator_agent_001 (Orchestrator Agent) initialized.
2025-05-30 17:31:29 | INFO | agentsAI.core.agent_factory | agent_factory | Creating agent of type 'content_research' (Class: ContentResearchAgent) with ID 'default' and args: {}
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Agent research_agent_001 (Content Research Agent) initialized.
2025-05-30 17:31:29 | INFO | agentsAI.agents.content_research_agent | content_research_agent | ApifyClientAsync initialized for Content Research Agent
2025-05-30 17:31:29 | INFO | agentsAI.core.agent_factory | agent_factory | Creating agent of type 'writing' (Class: WritingAgent) with ID 'default' and args: {}
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Agent writing_agent_001 (Writing Agent) initialized.
2025-05-30 17:31:29 | INFO | agentsAI.agents.writing_agent | writing_agent | OpenAI client initialized for Writing Agent
2025-05-30 17:31:29 | INFO | agentsAI.core.agent_factory | agent_factory | Creating agent of type 'seo' (Class: SEOAgent) with ID 'default' and args: {}
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Agent seo_agent_001 (SEO Agent) initialized.
2025-05-30 17:31:29 | INFO | agentsAI.agents.seo_agent | seo_agent | ApifyClientAsync initialized for SEO Agent
2025-05-30 17:31:29 | INFO | agentsAI.core.agent_factory | agent_factory | Creating agent of type 'image' (Class: ImageAgent) with ID 'default' and args: {}
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Agent image_agent_001 (Image Agent) initialized.
2025-05-30 17:31:29 | INFO | agentsAI.agents.image_agent | image_agent | OpenAI client initialized for Image Agent
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Message handler set for agent research_agent_001.
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Agent Content Research Agent (ID: research_agent_001) registered with orchestrator.
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Message handler set for agent writing_agent_001.
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Agent Writing Agent (ID: writing_agent_001) registered with orchestrator.
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Message handler set for agent seo_agent_001.
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Agent SEO Agent (ID: seo_agent_001) registered with orchestrator.
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Message handler set for agent image_agent_001.
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Agent Image Agent (ID: image_agent_001) registered with orchestrator.
2025-05-30 17:31:29 | INFO | agentsAI.__main__ | main | Starting blog post generation for topic: 'The Future of Multi-Agent AI Systems'
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Message handler set for agent orchestrator_agent_001.
2025-05-30 17:31:29 | INFO | agentsAI.__main__ | main | Master workflow task f31047ed-f78a-4232-ac6a-fec18b21286e created for orchestrator.
2025-05-30 17:31:29 | INFO | agentsAI.__main__ | main | Triggering orchestrator to process its master task f31047ed-f78a-4232-ac6a-fec18b21286e...
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Orchestrator (as agent) processing its own assigned task ID f31047ed-f78a-4232-ac6a-fec18b21286e: Create a blog post on topic: The Future of Multi-Agent AI Systems
2025-05-30 17:31:29 | INFO | agentsAI.agents.base_agent | base_agent | Task f31047ed-f78a-4232-ac6a-fec18b21286e status updated to TaskStatus.IN_PROGRESS by agent orchestrator_agent_001
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | --- Orchestrator starting Blog Post Creation Workflow for topic: 'The Future of Multi-Agent AI Systems' ---
2025-05-30 17:31:29 | INFO | agentsAI.agents.orchestrator | orchestrator | Orchestrator assigning task 'Research recent news on the topic: The Future of Multi-Agent AI Systems' (ID: d7211b37-458f-42ef-839e-a211aa0f456f) to agent Content Research Agent (ID: research_agent_001)
